Frame,ID,X,Y,W,H,X_new,Y_new
545,68,639,147,50,88,191.96776,189.33994
547,69,619,209,70,38,186.79785,280.76126
548,69,622,209,64,36,187.68129,280.7622
554,70,542,152,44,45,159.44633,197.77946
555,70,529,141,70,104,153.89867,179.00093
556,70,514,139,103,121,148.47458,175.47868
557,71,485,143,97,109,139.01837,182.50975
558,71,461,149,107,98,131.7823,192.78197
559,71,464,149,86,99,132.7958,192.78111
560,71,463,142,69,108,131.30461,180.77673
561,71,450,153,69,100,128.751,199.45772
562,71,437,155,68,91,124.76227,202.74751
563,71,423,148,68,93,118.752464,191.10405
564,71,402,159,72,83,113.939384,209.23055
565,73,380,191,77,54,113.24295,256.82138
566,73,360,193,81,60,107.53949,259.5645
567,73,343,165,84,97,95.99626,218.71642
568,73,328,169,83,96,92.14066,224.88472
569,73,306,165,87,105,83.9993,218.71968
570,73,306,174,70,90,86.39276,232.43039
571,73,290,174,73,90,81.31609,232.43025
572,73,271,173,82,87,75.00203,230.9357
573,73,260,170,83,91,70.61132,226.41046
574,73,257,126,75,133,54.799995,151.79428
575,73,245,102,77,155,40.568695,103.29442
576,73,235,110,77,146,40.30156,120.1867
577,73,227,132,76,125,46.477814,162.99124
578,73,218,154,77,105,51.65208,201.15605
579,73,210,159,78,108,50.79508,209.2608
580,73,203,162,77,111,49.573597,214.0296
581,73,197,157,72,122,45.789375,206.04572
582,73,192,150,71,129,41.475254,194.53525
583,73,191,146,69,130,39.571705,187.77603
584,73,195,147,65,132,41.319313,189.47737
585,73,197,151,69,127,43.535736,196.20291
586,73,200,156,73,116,46.410686,204.42474
587,75,212,163,69,89,52.856586,215.60254
588,75,249,161,42,87,64.25424,212.4419
589,75,232,154,68,93,56.307407,201.153
590,75,240,150,69,98,57.59242,194.52232
591,75,242,148,75,102,57.569454,191.1576
592,75,259,146,67,102,62.63596,187.75414
593,75,251,141,84,105,58.17444,179.10994
594,75,272,139,72,105,64.716965,175.58052
595,75,276,134,76,108,64.40001,166.616
596,75,281,130,80,108,64.77699,159.2741
597,75,292,126,79,108,67.30643,151.77255
598,75,305,123,75,106,70.95078,146.03738
599,75,318,122,72,106,75.3105,144.09898
600,75,330,119,69,106,78.69608,138.23868
601,75,341,116,66,106,81.77012,132.28249
602,75,353,111,62,103,84.64829,122.139946
603,75,363,105,61,87,86.54242,109.595535
604,75,373,100,62,90,88.81086,98.81163
605,75,383,97,62,93,91.753746,92.187325
606,75,392,95,63,95,94.654,87.70398
607,75,400,95,64,95,97.77348,87.69419
608,75,409,96,66,94,101.559525,89.92638
609,75,418,99,67,93,105.84895,96.568985
610,75,428,103,66,96,110.69358,105.25468
611,75,439,109,64,93,116.26008,117.928375
612,75,449,114,62,92,121.068405,128.17311
613,75,459,117,58,94,125.359505,134.18423
614,75,464,117,60,92,127.195045,134.18036
615,75,467,115,62,93,127.91994,130.1757
616,75,467,113,65,93,127.5393,126.12948
617,75,466,110,67,88,126.586205,119.977135
618,75,467,107,66,83,126.371895,113.72002
619,75,457,105,76,85,122.17958,109.50082
620,75,451,102,85,90,119.24656,103.07424
621,75,480,98,61,93,129.57803,94.29214
622,75,484,97,61,93,130.9368,92.06828
623,75,487,95,61,94,131.72534,87.58772
624,75,491,92,59,95,132.72844,80.76929
625,75,494,89,58,97,133.35184,73.831604
626,75,497,87,55,98,134.1734,69.13655
627,75,500,86,53,99,135.18939,66.76591
628,75,501,86,52,100,135.59042,66.764465
629,75,499,87,55,99,134.97307,69.13372
630,75,502,80,53,107,134.88159,52.26452
631,75,505,88,51,100,137.54878,71.47781
632,75,508,88,48,100,138.74493,71.47364
633,75,511,89,46,99,140.10965,73.80838
634,75,514,88,45,80,141.13742,71.465294
635,75,517,87,44,79,142.17131,69.108246
636,75,519,85,43,79,142.64822,64.3576
637,75,520,85,43,79,143.05058,64.35613
638,75,520,84,44,79,142.88882,61.96097
642,75,521,66,53,91,140.22934,16.265701
643,75,510,67,66,93,135.73315,18.961428
644,75,528,76,50,88,144.86668,42.259388
645,75,530,78,51,91,146.00702,47.268154
646,75,532,75,63,90,146.365,39.72339
647,75,538,77,47,89,149.14883,44.75627
648,75,545,81,45,84,152.5799,54.64979
649,75,545,81,45,84,152.5799,54.64979
650,75,545,75,50,105,151.75754,39.700848
661,75,592,63,61,116,170.26947,7.992524
662,75,596,65,61,113,172.1539,13.422194
663,75,600,73,61,104,174.44595,34.496403
664,75,604,78,60,99,176.43927,47.145958
665,75,607,77,58,97,177.61401,44.640423
666,75,610,77,59,99,178.85245,44.635384
667,75,618,78,53,102,182.20126,47.12282
668,75,622,78,53,106,183.84782,47.11621
669,75,625,77,55,108,185.04555,44.610176
670,75,626,75,56,108,185.38577,39.56028
671,75,629,74,57,106,186.59937,37.007587
672,75,633,73,57,104,188.23859,34.43721
673,75,638,75,57,101,190.37193,39.53944
674,75,641,64,58,113,191.41985,10.618717
675,75,644,67,59,113,192.75356,18.697172
676,75,649,64,59,120,194.86081,10.602163
677,75,648,77,64,111,194.54488,44.571518
678,75,651,81,66,108,195.80264,54.48323
679,75,658,96,67,94,198.60164,89.626816
680,75,665,97,67,93,201.32413,91.85443
681,75,674,97,67,93,204.8297,91.84379
682,75,686,96,67,93,209.53976,89.59305
683,75,698,96,65,94,214.22913,89.578575
684,75,706,96,66,94,217.35591,89.568924
685,75,714,97,66,95,220.4165,91.79643
686,75,722,95,67,95,223.68677,87.29934
687,75,730,94,70,95,226.90945,85.02599
688,75,738,92,78,97,230.24712,80.44896
689,75,748,89,53,100,234.52971,73.483925
690,75,757,87,50,102,238.3646,68.767845
691,75,765,86,48,103,241.70946,66.38345
692,75,773,86,46,103,244.93286,66.37188
693,75,781,85,50,104,248.30818,63.97274
694,75,788,87,53,99,250.81905,68.72377
695,77,795,86,99,95,253.79958,66.34004
696,77,802,74,95,104,258.8139,36.701717
697,77,810,66,103,112,263.79736,15.685818
698,77,818,63,94,115,267.89627,7.517051
699,77,826,68,82,113,270.19748,21.00393
700,77,835,86,68,96,269.92963,66.28213
701,77,844,85,58,94,273.78772,63.879932
702,77,851,81,71,96,277.57755,54.168102
703,77,857,76,58,98,281.30225,41.69662
704,77,863,70,58,100,285.41733,26.217543
724,77,852,68,60,102,281.2802,20.95321
727,77,835,73,61,104,272.84753,34.07411
728,77,826,74,63,107,268.85007,36.659206
729,77,818,66,64,123,267.22742,15.669721
730,77,810,67,67,125,263.588,18.368895
731,77,797,71,74,142,257.2777,28.958508
732,77,798,71,67,119,257.69968,28.956648
733,77,793,77,66,115,254.5228,44.32741
734,77,788,66,67,124,254.36734,15.730071
735,77,785,63,66,127,253.61511,7.586605
736,77,782,61,66,129,252.67021,2.0729659
737,77,779,70,66,120,249.8472,26.376234
738,77,777,72,65,118,248.6806,31.595116
739,77,773,73,68,118,246.84525,34.1857
740,77,767,75,70,116,244.04176,39.315098
741,77,761,82,73,108,240.61224,56.75493
742,77,758,87,73,102,238.76625,68.76642
743,77,753,96,74,98,235.73431,89.51219
744,77,751,104,70,95,234.10323,107.06528
745,77,749,111,66,94,232.64151,121.78717
746,77,748,116,64,95,231.7901,131.95813
747,77,748,119,65,89,231.51039,137.92816
748,77,751,118,68,93,232.70654,135.94666
749,77,755,117,72,93,234.2781,133.9535
750,77,762,121,73,86,236.43463,141.84471
751,77,770,113,74,90,240.27881,125.87082
752,77,779,109,84,92,244.15114,117.61196
753,77,792,105,66,95,249.63722,109.16205
754,77,773,103,92,128,242.64417,104.89164
755,78,809,101,63,88,256.7932,100.51364
756,78,816,101,63,95,259.49527,100.50596
757,78,823,101,63,89,262.19763,100.49827
758,78,830,100,65,90,265.09314,98.30155
759,78,827,100,79,91,263.9315,98.30492
760,78,828,100,89,92,264.3187,98.303795
761,78,832,84,94,117,269.1464,61.49448
762,78,842,86,92,106,272.75357,66.27199
763,78,859,88,83,102,279.1268,70.98408
764,78,874,92,73,97,284.11914,80.271996
765,78,882,96,66,93,286.25296,89.35625
766,78,884,99,66,90,286.26666,96.0383
767,78,886,99,67,90,287.04407,96.03602
768,78,887,97,68,92,287.95163,91.59125
769,78,887,75,69,109,294.08014,39.105938
770,78,883,64,75,116,295.7378,10.116867
773,80,873,63,88,84,291.718,7.4010324
774,80,874,73,84,78,289.2189,34.003853
775,80,880,80,75,63,289.73804,51.659466
776,80,877,71,75,71,291.05847,28.809723
777,80,881,78,69,61,290.71448,46.687107
778,80,876,78,71,70,288.6467,46.69541
779,80,875,82,61,66,287.1391,56.57811
780,80,872,84,56,58,285.3836,61.43449
781,80,865,85,56,54,282.2872,63.848972
782,80,857,84,58,53,279.2933,61.45699
783,80,848,80,63,92,276.58792,51.710846
784,80,839,75,78,104,274.0517,39.189655
785,80,830,84,81,96,268.3348,61.49748
786,80,821,67,81,114,268.2896,18.347105
787,80,813,65,79,116,265.2983,12.979606
